tvshow_code,show_name,seasonNumber,averageRating,numVotes
tt0051267,The Donna Reed Show,1,7.254054054054052,25.83783783783784
tt0051267,The Donna Reed Show,2,7.844736842105264,15.710526315789474
tt0051267,The Donna Reed Show,3,8.344736842105263,11.973684210526315
tt0051267,The Donna Reed Show,4,8.223076923076926,11.102564102564102
tt0051267,The Donna Reed Show,5,8.070588235294116,10.676470588235293
tt0051267,The Donna Reed Show,6,8.7,6.5
tt0051267,The Donna Reed Show,8,7.731999999999998,6.72
tt0051283,The Huckleberry Hound Show,1,7.400000000000001,16.5
tt0051283,The Huckleberry Hound Show,2,7.257142857142858,15.928571428571429
tt0051283,The Huckleberry Hound Show,3,7.338461538461539,15.692307692307692
tt0051283,The Huckleberry Hound Show,4,7.211764705882352,14.823529411764707
tt0051290,Lawman,1,8.376923076923077,21.205128205128204
tt0051290,Lawman,2,8.237837837837839,20.594594594594593
tt0051290,Lawman,3,8.315384615384616,17.512820512820515
tt0051290,Lawman,4,8.273170731707316,17.634146341463413
tt0051297,Naked City,1,7.566666666666665,24.0
tt0051297,Naked City,2,8.15625,32.625
tt0051297,Naked City,3,7.8606060606060595,31.303030303030305
tt0051297,Naked City,4,7.805882352941177,27.735294117647058
tt0051301,Peter Gunn,1,7.663157894736844,55.28947368421053
tt0051301,Peter Gunn,2,7.528947368421051,34.86842105263158
tt0051301,Peter Gunn,3,7.499999999999998,25.57894736842105
tt0051308,The Rifleman,1,8.325,72.8
tt0051308,The Rifleman,2,8.1,54.888888888888886
tt0051308,The Rifleman,3,8.114705882352942,53.38235294117647
tt0051308,The Rifleman,4,8.028125000000001,48.34375
tt0051308,The Rifleman,5,7.949999999999999,50.76923076923077
tt0051311,Sea Hunt,1,7.197435897435897,16.666666666666668
tt0051311,Sea Hunt,2,7.546153846153845,9.256410256410257
tt0051311,Sea Hunt,3,7.6923076923076925,8.179487179487179
tt0051311,Sea Hunt,4,7.486486486486488,8.91891891891892
tt0051327,Wanted: Dead or Alive,1,7.844444444444445,72.75
tt0051327,Wanted: Dead or Alive,2,7.890624999999999,60.6875
tt0051327,Wanted: Dead or Alive,3,7.803846153846154,55.76923076923077
tt0052442,One Step Beyond,1,7.022727272727272,96.72727272727273
tt0052442,One Step Beyond,2,6.82051282051282,52.15384615384615
tt0052442,One Step Beyond,3,7.091666666666665,36.19444444444444
tt0052445,Bat Masterson,1,7.837837837837838,23.62162162162162
tt0052445,Bat Masterson,2,7.524324324324326,17.89189189189189
tt0052445,Bat Masterson,3,7.667647058823527,15.117647058823529
tt0052451,Bonanza,1,7.3031250000000005,89.125
tt0052451,Bonanza,2,7.28529411764706,71.32352941176471
tt0052451,Bonanza,3,7.3088235294117645,61.705882352941174
tt0052451,Bonanza,4,7.161764705882354,59.76470588235294
